"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"08/01/2017 00:00:00 - 08/01/2017 01:00:00","BZN|NL","Without sequence","35.23","",""
"08/01/2017 01:00:00 - 08/01/2017 02:00:00","BZN|NL","Without sequence","34.92","",""
"08/01/2017 02:00:00 - 08/01/2017 03:00:00","BZN|NL","Without sequence","35.58","",""
"08/01/2017 03:00:00 - 08/01/2017 04:00:00","BZN|NL","Without sequence","36.47","",""
"08/01/2017 04:00:00 - 08/01/2017 05:00:00","BZN|NL","Without sequence","40.09","",""
"08/01/2017 05:00:00 - 08/01/2017 06:00:00","BZN|NL","Without sequence","37.76","",""
"08/01/2017 06:00:00 - 08/01/2017 07:00:00","BZN|NL","Without sequence","35.9","",""
"08/01/2017 07:00:00 - 08/01/2017 08:00:00","BZN|NL","Without sequence","37.71","",""
"08/01/2017 08:00:00 - 08/01/2017 09:00:00","BZN|NL","Without sequence","39.72","",""
"08/01/2017 09:00:00 - 08/01/2017 10:00:00","BZN|NL","Without sequence","42.6","",""
"08/01/2017 10:00:00 - 08/01/2017 11:00:00","BZN|NL","Without sequence","55.02","",""
"08/01/2017 11:00:00 - 08/01/2017 12:00:00","BZN|NL","Without sequence","51.93","",""
"08/01/2017 12:00:00 - 08/01/2017 13:00:00","BZN|NL","Without sequence","45.37","",""
"08/01/2017 13:00:00 - 08/01/2017 14:00:00","BZN|NL","Without sequence","40.53","",""
"08/01/2017 14:00:00 - 08/01/2017 15:00:00","BZN|NL","Without sequence","39.73","",""
"08/01/2017 15:00:00 - 08/01/2017 16:00:00","BZN|NL","Without sequence","42.75","",""
"08/01/2017 16:00:00 - 08/01/2017 17:00:00","BZN|NL","Without sequence","53.7","",""
"08/01/2017 17:00:00 - 08/01/2017 18:00:00","BZN|NL","Without sequence","60.95","",""
"08/01/2017 18:00:00 - 08/01/2017 19:00:00","BZN|NL","Without sequence","64.93","",""
"08/01/2017 19:00:00 - 08/01/2017 20:00:00","BZN|NL","Without sequence","58.91","",""
"08/01/2017 20:00:00 - 08/01/2017 21:00:00","BZN|NL","Without sequence","50.03","",""
"08/01/2017 21:00:00 - 08/01/2017 22:00:00","BZN|NL","Without sequence","39.06","",""
"08/01/2017 22:00:00 - 08/01/2017 23:00:00","BZN|NL","Without sequence","40.06","",""
"08/01/2017 23:00:00 - 09/01/2017 00:00:00","BZN|NL","Without sequence","37.09","",""
"09/01/2017 00:00:00 - 09/01/2017 01:00:00","BZN|NL","Without sequence","40.0","",""
"09/01/2017 01:00:00 - 09/01/2017 02:00:00","BZN|NL","Without sequence","39.05","",""
"09/01/2017 02:00:00 - 09/01/2017 03:00:00","BZN|NL","Without sequence","39.21","",""
"09/01/2017 03:00:00 - 09/01/2017 04:00:00","BZN|NL","Without sequence","39.24","",""
"09/01/2017 04:00:00 - 09/01/2017 05:00:00","BZN|NL","Without sequence","36.62","",""
"09/01/2017 05:00:00 - 09/01/2017 06:00:00","BZN|NL","Without sequence","37.45","",""
"09/01/2017 06:00:00 - 09/01/2017 07:00:00","BZN|NL","Without sequence","42.61","",""
"09/01/2017 07:00:00 - 09/01/2017 08:00:00","BZN|NL","Without sequence","57.67","",""
"09/01/2017 08:00:00 - 09/01/2017 09:00:00","BZN|NL","Without sequence","58.0","",""
"09/01/2017 09:00:00 - 09/01/2017 10:00:00","BZN|NL","Without sequence","67.88","",""
"09/01/2017 10:00:00 - 09/01/2017 11:00:00","BZN|NL","Without sequence","66.58","",""
"09/01/2017 11:00:00 - 09/01/2017 12:00:00","BZN|NL","Without sequence","61.98","",""
"09/01/2017 12:00:00 - 09/01/2017 13:00:00","BZN|NL","Without sequence","60.54","",""
"09/01/2017 13:00:00 - 09/01/2017 14:00:00","BZN|NL","Without sequence","56.63","",""
"09/01/2017 14:00:00 - 09/01/2017 15:00:00","BZN|NL","Without sequence","52.51","",""
"09/01/2017 15:00:00 - 09/01/2017 16:00:00","BZN|NL","Without sequence","50.0","",""
"09/01/2017 16:00:00 - 09/01/2017 17:00:00","BZN|NL","Without sequence","52.5","",""
"09/01/2017 17:00:00 - 09/01/2017 18:00:00","BZN|NL","Without sequence","73.45","",""
"09/01/2017 18:00:00 - 09/01/2017 19:00:00","BZN|NL","Without sequence","38.76","",""
"09/01/2017 19:00:00 - 09/01/2017 20:00:00","BZN|NL","Without sequence","36.51","",""
"09/01/2017 20:00:00 - 09/01/2017 21:00:00","BZN|NL","Without sequence","39.1","",""
"09/01/2017 21:00:00 - 09/01/2017 22:00:00","BZN|NL","Without sequence","36.62","",""
"09/01/2017 22:00:00 - 09/01/2017 23:00:00","BZN|NL","Without sequence","36.08","",""
"09/01/2017 23:00:00 - 10/01/2017 00:00:00","BZN|NL","Without sequence","32.76","",""
"10/01/2017 00:00:00 - 10/01/2017 01:00:00","BZN|NL","Without sequence","32.45","",""
"10/01/2017 01:00:00 - 10/01/2017 02:00:00","BZN|NL","Without sequence","31.52","",""
"10/01/2017 02:00:00 - 10/01/2017 03:00:00","BZN|NL","Without sequence","29.08","",""
"10/01/2017 03:00:00 - 10/01/2017 04:00:00","BZN|NL","Without sequence","28.92","",""
"10/01/2017 04:00:00 - 10/01/2017 05:00:00","BZN|NL","Without sequence","31.49","",""
"10/01/2017 05:00:00 - 10/01/2017 06:00:00","BZN|NL","Without sequence","33.06","",""
"10/01/2017 06:00:00 - 10/01/2017 07:00:00","BZN|NL","Without sequence","36.32","",""
"10/01/2017 07:00:00 - 10/01/2017 08:00:00","BZN|NL","Without sequence","51.68","",""
"10/01/2017 08:00:00 - 10/01/2017 09:00:00","BZN|NL","Without sequence","50.25","",""
"10/01/2017 09:00:00 - 10/01/2017 10:00:00","BZN|NL","Without sequence","58.99","",""
"10/01/2017 10:00:00 - 10/01/2017 11:00:00","BZN|NL","Without sequence","58.55","",""
"10/01/2017 11:00:00 - 10/01/2017 12:00:00","BZN|NL","Without sequence","57.02","",""
"10/01/2017 12:00:00 - 10/01/2017 13:00:00","BZN|NL","Without sequence","65.62","",""
"10/01/2017 13:00:00 - 10/01/2017 14:00:00","BZN|NL","Without sequence","67.3","",""
"10/01/2017 14:00:00 - 10/01/2017 15:00:00","BZN|NL","Without sequence","61.29","",""
"10/01/2017 15:00:00 - 10/01/2017 16:00:00","BZN|NL","Without sequence","64.94","",""
"10/01/2017 16:00:00 - 10/01/2017 17:00:00","BZN|NL","Without sequence","68.79","",""
"10/01/2017 17:00:00 - 10/01/2017 18:00:00","BZN|NL","Without sequence","88.38","",""
"10/01/2017 18:00:00 - 10/01/2017 19:00:00","BZN|NL","Without sequence","100.02","",""
"10/01/2017 19:00:00 - 10/01/2017 20:00:00","BZN|NL","Without sequence","73.26","",""
"10/01/2017 20:00:00 - 10/01/2017 21:00:00","BZN|NL","Without sequence","61.79","",""
"10/01/2017 21:00:00 - 10/01/2017 22:00:00","BZN|NL","Without sequence","47.63","",""
"10/01/2017 22:00:00 - 10/01/2017 23:00:00","BZN|NL","Without sequence","39.94","",""
"10/01/2017 23:00:00 - 11/01/2017 00:00:00","BZN|NL","Without sequence","37.64","",""
"11/01/2017 00:00:00 - 11/01/2017 01:00:00","BZN|NL","Without sequence","38.99","",""
"11/01/2017 01:00:00 - 11/01/2017 02:00:00","BZN|NL","Without sequence","37.2","",""
"11/01/2017 02:00:00 - 11/01/2017 03:00:00","BZN|NL","Without sequence","34.03","",""
"11/01/2017 03:00:00 - 11/01/2017 04:00:00","BZN|NL","Without sequence","34.78","",""
"11/01/2017 04:00:00 - 11/01/2017 05:00:00","BZN|NL","Without sequence","32.7","",""
"11/01/2017 05:00:00 - 11/01/2017 06:00:00","BZN|NL","Without sequence","31.21","",""
"11/01/2017 06:00:00 - 11/01/2017 07:00:00","BZN|NL","Without sequence","37.2","",""
"11/01/2017 07:00:00 - 11/01/2017 08:00:00","BZN|NL","Without sequence","51.13","",""
"11/01/2017 08:00:00 - 11/01/2017 09:00:00","BZN|NL","Without sequence","55.0","",""
"11/01/2017 09:00:00 - 11/01/2017 10:00:00","BZN|NL","Without sequence","54.35","",""
"11/01/2017 10:00:00 - 11/01/2017 11:00:00","BZN|NL","Without sequence","44.41","",""
"11/01/2017 11:00:00 - 11/01/2017 12:00:00","BZN|NL","Without sequence","41.06","",""
"11/01/2017 12:00:00 - 11/01/2017 13:00:00","BZN|NL","Without sequence","36.94","",""
"11/01/2017 13:00:00 - 11/01/2017 14:00:00","BZN|NL","Without sequence","36.0","",""
"11/01/2017 14:00:00 - 11/01/2017 15:00:00","BZN|NL","Without sequence","34.94","",""
"11/01/2017 15:00:00 - 11/01/2017 16:00:00","BZN|NL","Without sequence","34.93","",""
"11/01/2017 16:00:00 - 11/01/2017 17:00:00","BZN|NL","Without sequence","37.45","",""
"11/01/2017 17:00:00 - 11/01/2017 18:00:00","BZN|NL","Without sequence","55.0","",""
"11/01/2017 18:00:00 - 11/01/2017 19:00:00","BZN|NL","Without sequence","37.4","",""
"11/01/2017 19:00:00 - 11/01/2017 20:00:00","BZN|NL","Without sequence","40.1","",""
"11/01/2017 20:00:00 - 11/01/2017 21:00:00","BZN|NL","Without sequence","40.0","",""
"11/01/2017 21:00:00 - 11/01/2017 22:00:00","BZN|NL","Without sequence","36.2","",""
"11/01/2017 22:00:00 - 11/01/2017 23:00:00","BZN|NL","Without sequence","32.44","",""
"11/01/2017 23:00:00 - 12/01/2017 00:00:00","BZN|NL","Without sequence","27.36","",""
"12/01/2017 00:00:00 - 12/01/2017 01:00:00","BZN|NL","Without sequence","26.43","",""
"12/01/2017 01:00:00 - 12/01/2017 02:00:00","BZN|NL","Without sequence","26.09","",""
"12/01/2017 02:00:00 - 12/01/2017 03:00:00","BZN|NL","Without sequence","27.94","",""
"12/01/2017 03:00:00 - 12/01/2017 04:00:00","BZN|NL","Without sequence","28.03","",""
"12/01/2017 04:00:00 - 12/01/2017 05:00:00","BZN|NL","Without sequence","25.87","",""
"12/01/2017 05:00:00 - 12/01/2017 06:00:00","BZN|NL","Without sequence","23.75","",""
"12/01/2017 06:00:00 - 12/01/2017 07:00:00","BZN|NL","Without sequence","31.28","",""
"12/01/2017 07:00:00 - 12/01/2017 08:00:00","BZN|NL","Without sequence","40.02","",""
"12/01/2017 08:00:00 - 12/01/2017 09:00:00","BZN|NL","Without sequence","40.07","",""
"12/01/2017 09:00:00 - 12/01/2017 10:00:00","BZN|NL","Without sequence","38.2","",""
"12/01/2017 10:00:00 - 12/01/2017 11:00:00","BZN|NL","Without sequence","39.64","",""
"12/01/2017 11:00:00 - 12/01/2017 12:00:00","BZN|NL","Without sequence","39.86","",""
"12/01/2017 12:00:00 - 12/01/2017 13:00:00","BZN|NL","Without sequence","38.0","",""
"12/01/2017 13:00:00 - 12/01/2017 14:00:00","BZN|NL","Without sequence","50.03","",""
